stop_id,stop_lon,stop_lat
572,-79.448396,43.802899
573,-79.405979,43.671797
575,-79.487981,43.751925
576,-79.344381,43.701905
577,-79.325728,43.724761
578,-79.5531,43.75159
580,-79.282368,43.794831
581,-79.433869,43.783394
582,-79.493363,43.748769
583,-79.315907,43.692547
584,-79.271596,43.701442
585,-79.468086,43.660406
586,-79.386577,43.786413
587,-79.279041,43.78511
588,-79.51113,43.732115
589,-79.404989,43.734367
590,-79.220356,43.73564
591,-79.212135,43.743796
592,-79.322301,43.771883
593,-79.230355,43.742221
595,-79.356868,43.810118
596,-79.538944,43.739021
597,-79.514742,43.624047
598,-79.520893,43.616633
599,-79.51288,43.618229
600,-79.29257,43.79345
601,-79.202522,43.799295
602,-79.182991,43.774223
603,-79.489215,43.629138
604,-79.501201,43.665097
605,-79.232312,43.725443
606,-79.562632,43.702689
607,-79.254543,43.822752
608,-79.318042,43.776716
609,-79.431862,43.77643
610,-79.305845,43.682773
611,-79.440132,43.651115
612,-79.211457,43.790075
613,-79.253938,43.848191
614,-79.335235,43.813902
615,-79.497843,43.614676
616,-79.427049,43.738736
617,-79.597507,43.742378
618,-79.508129,43.702096
619,-79.376295,43.708992
621,-79.448117,43.792072
623,-79.450079,43.749609
624,-79.302819,43.723135
625,-79.60324,43.758023
627,-79.358302,43.760484
628,-79.440435,43.78207
632,-79.443268,43.775615
633,-79.332036,43.759595
634,-79.373383,43.653602
635,-79.386282,43.668841
636,-79.320021,43.804646
637,-79.288962,43.807186
638,-79.334684,43.858114
640,-79.522414,43.621791
641,-79.370964,43.801133
642,-79.272762,43.772736
643,-79.555066,43.619313
645,-79.441766,43.655682
646,-79.524373,43.6631
647,-79.550647,43.677048
648,-79.463624,43.698567
649,-79.272467,43.796697
650,-79.5024,43.769379
651,-79.166039,43.773036
652,-79.364427,43.733152
653,-79.491082,43.696575
654,-79.428738,43.688739
655,-79.418331,43.672342
656,-79.409887,43.661614
657,-79.262534,43.693823
658,-79.52813,43.686157
659,-79.418948,43.663363
660,-79.517124,43.629036
661,-79.320702,43.684044
662,-79.330127,43.711661
663,-79.42395,43.785736
664,-79.563999,43.654763
665,-79.552105,43.750105
666,-79.282498,43.741996
670,-79.132408,43.782809
671,-79.34408,43.727977
672,-79.493647,43.762438
674,-79.390178,43.659717
675,-79.422816,43.797286
676,-79.472043,43.640484
677,-79.396537,43.791653
679,-79.543335,43.659715
680,-79.526336,43.68247
681,-79.199824,43.818227
682,-79.537655,43.758823
683,-79.439866,43.651168
684,-79.245756,43.737338
685,-79.445832,43.78586
686,-79.399003,43.725694
687,-79.556304,43.740063
689,-79.457682,43.726345
690,-79.612839,43.739311
691,-79.375792,43.735003
695,-79.346954,43.752754
696,-79.296867,43.670942
697,-79.280808,43.72919
698,-79.284381,43.694401
699,-79.326438,43.774798
700,-79.378698,43.720818
701,-79.392236,43.683811
702,-79.511567,43.618189
703,-79.515013,43.612349
705,-79.415294,43.675365
706,-79.285188,43.683422
707,-79.3824,43.660008
708,-79.429513,43.774582
709,-79.389999,43.756369
710,-79.539973,43.698427
711,-79.177488,43.782638
712,-79.372397,43.807738
713,-79.238936,43.767241
714,-79.279883,43.849399
715,-79.481022,43.775121
716,-79.463105,43.750021
717,-79.288075,43.783432
718,-79.531147,43.662127
719,-79.489978,43.610699
720,-79.367245,43.707391
721,-79.481072,43.75704
722,-79.405499,43.778044
723,-79.189589,43.767363
724,-79.392586,43.787893
725,-79.300661,43.809073
727,-79.302236,43.724094
728,-79.233233,43.819452
730,-79.575866,43.702095
731,-79.137591,43.7815
732,-79.407812,43.7837
734,-79.377707,43.675161
735,-79.311312,43.734144
736,-79.392106,43.804084
738,-79.233247,43.72664
739,-79.443496,43.754366
740,-79.583628,43.699972
741,-79.264728,43.788276
742,-79.52675,43.647886
743,-79.334719,43.859654
744,-79.493975,43.671507
745,-79.417129,43.699125
746,-79.230088,43.727383
747,-79.4556,43.751748
